len,time
100,75930
200,352335
300,740091
400,1219809
500,1760497
600,2481760
700,3392947
800,4420256
900,5582120
1000,6933783
1100,8377861
1200,10298889
1300,12472652
1400,14436293
1500,16882447
1600,20503791
1700,21445060
1800,23466473
1900,26742415
2000,32939144
2100,33776571
2200,36573452
2300,40618629
2400,42772707
2500,47986112
2600,50627252
2700,57171205
2800,59870630
2900,65033622
3000,68048623
3100,72284747
3200,83357043
3300,92011609
3400,95043528
3500,95283111
3600,104743120
3700,114045245
3800,118884190
3900,124492217
4000,127738090
4100,133604391
4200,141350815
4300,149189077
4400,153096227
4500,162922214
4600,172262410
4700,179884940
4800,193131468
4900,218000553
5000,201883037
5100,209476155
5200,234709601
5300,249285232
5400,254209764
5500,306027863
5600,281674151
5700,298403010
5800,303359457
5900,503037278
6000,576944814
6100,718152862
6200,717680716
6300,729699076
6400,865340509
6500,938235947
6600,710850155
6700,906340368
6800,946181647
6900,975771783
7000,1072987829
7100,1008859780
7200,1098104594
7300,992145126
7400,1228419162
7500,1368914235
7600,1249250896
7700,1426575051
7800,1663148455
7900,1236686137
8000,1357717686
8100,1612409914
8200,1901019976
8300,1765233273
8400,1698250919
8500,1694103517
8600,1655559632
8700,1759289429
8800,1798579573
8900,1854922735
9000,1929920393
9100,1947583619
9200,1912025809
9300,1453165360
9400,1884314525
9500,1811562467
9600,1966864970
9700,1964623540
9800,1906171269
9900,2148822704
10000,2170407409
